\lbrack	[	0x5b
\circledequal	⊜	0x229c
\circleddash	⊝	0x229d
\boxplus	⊞	0x229e
\boxminus	⊟	0x229f
\boxtimes	⊠	0x22a0
\boxdot	⊡	0x22a1
\vdash	⊢	0x22a2
\dashv	⊣	0x22a3
\top	⊤	0x22a4
\bot	⊥	0x22a5
\assert	⊦	0x22a6
\models	⊧	0x22a7
\vDash	⊨	0x22a8
\Vdash	⊩	0x22a9
\Vvdash	⊪	0x22aa
\VDash	⊫	0x22ab
\nvdash	⊬	0x22ac
\nvDash	⊭	0x22ad
\nVdash	⊮	0x22ae
\nVDash	⊯	0x22af
\prurel	⊰	0x22b0
\scurel	⊱	0x22b1
\vartriangleleft	⊲	0x22b2
\vartriangleright	⊳	0x22b3
\trianglelefteq	⊴	0x22b4
\trianglerighteq	⊵	0x22b5
\multimapdotbothA	⊶	0x22b6
\multimapdotbothB	⊷	0x22b7
\multimap	⊸	0x22b8
\hermitmatrix	⊹	0x22b9
\intercal	⊺	0x22ba
\veebar	⊻	0x22bb
\barwedge	⊼	0x22bc
\barvee	⊽	0x22bd
\measuredrightangle	⊾	0x22be
\varlrtriangle	⊿	0x22bf
\bigwedge	⋀	0x22c0
\bigvee	⋁	0x22c1
\bigcap	⋂	0x22c2
\bigcup	⋃	0x22c3
\diamond	⋄	0x22c4
\cdot	⋅	0x22c5
\star	⋆	0x22c6
\divideontimes	⋇	0x22c7
\bowtie	⋈	0x22c8
\ltimes	⋉	0x22c9
\rtimes	⋊	0x22ca
\leftthreetimes	⋋	0x22cb
\rightthreetimes	⋌	0x22cc
\backsimeq	⋍	0x22cd
\curlyvee	⋎	0x22ce
\curlywedge	⋏	0x22cf
\Subset	⋐	0x22d0
\Supset	⋑	0x22d1
\Cap	⋒	0x22d2
\Cup	⋓	0x22d3
\pitchfork	⋔	0x22d4
\hash	⋕	0x22d5
\lessdot	⋖	0x22d6
\gtrdot	⋗	0x22d7
\lll	⋘	0x22d8
\ggg	⋙	0x22d9
\lesseqgtr	⋚	0x22da
\gtreqless	⋛	0x22db
\eqless	⋜	0x22dc
\eqgtr	⋝	0x22dd
\curlyeqprec	⋞	0x22de
\curlyeqsucc	⋟	0x22df
\npreceq	⋠	0x22e0
\nsucceq	⋡	0x22e1
\nsqsubseteq	⋢	0x22e2
\nsqsupseteq	⋣	0x22e3
\sqsubsetneq	⋤	0x22e4
\sqsupsetneq	⋥	0x22e5
\lnsim	⋦	0x22e6
\gnsim	⋧	0x22e7
\precnsim	⋨	0x22e8
\succnsim	⋩	0x22e9
\ntriangleleft	⋪	0x22ea
\ntriangleright	⋫	0x22eb
\ntrianglelefteq	⋬	0x22ec
\ntrianglerighteq	⋭	0x22ed
\vdots	⋮	0x22ee
\cdots	⋯	0x22ef
\iddots	⋰	0x22f0
\ddots	⋱	0x22f1
\disin	⋲	0x22f2
\varisins	⋳	0x22f3
\isins	⋴	0x22f4
\isindot	⋵	0x22f5
\barin	⋶	0x22f6
\isinobar	⋷	0x22f7
\isinvb	⋸	0x22f8
\isinE	⋹	0x22f9
\nisd	⋺	0x22fa
\varnis	⋻	0x22fb
\nis	⋼	0x22fc
\varniobar	⋽	0x22fd
\niobar	⋾	0x22fe
\bagmember	⋿	0x22ff
\diameter	⌀	0x2300
\house	⌂	0x2302
\varbarwedge	⌅	0x2305
\vardoublebarwedge	⌆	0x2306
\lceil	⌈	0x2308
\rceil	⌉	0x2309
\lfloor	⌊	0x230a
\rfloor	⌋	0x230b
\invneg	⌐	0x2310
\wasylozenge	⌑	0x2311
\profline	⌒	0x2312
\profsurf	⌓	0x2313
\viewdata	⌗	0x2317
\turnednot	⌙	0x2319
\ulcorner	⌜	0x231c
\urcorner	⌝	0x231d
\llcorner	⌞	0x231e
\lrcorner	⌟	0x231f
\inttop	⌠	0x2320
\intbottom	⌡	0x2321
\frown	⌢	0x2322
\smile	⌣	0x2323
\varhexagonlrbonds	⌬	0x232c
\conictaper	⌲	0x2332
\topbot	⌶	0x2336
\APLinv	⌹	0x2339
\obar	⌽	0x233d
\notslash	⌿	0x233f
\notbackslash	⍀	0x2340
\APLleftarrowbox	⍇	0x2347
\APLrightarrowbox	⍈	0x2348
\APLuparrowbox	⍐	0x2350
\APLboxupcaret	⍓	0x2353
\APLdownarrowbox	⍗	0x2357
\APLcomment	⍝	0x235d
\APLinput	⍞	0x235e
\APLlog	⍟	0x235f
\APLboxquestion	⍰	0x2370
\rangledownzigzagarrow	⍼	0x237c
\hexagon	⎔	0x2394
\lparenuend	⎛	0x239b
\lparenextender	⎜	0x239c
\lparenlend	⎝	0x239d
\rparenuend	⎞	0x239e
\rparenextender	⎟	0x239f
\rparenlend	⎠	0x23a0
\lbrackuend	⎡	0x23a1
\lbrackextender	⎢	0x23a2
\lbracklend	⎣	0x23a3
\rbrackuend	⎤	0x23a4
\rbrackextender	⎥	0x23a5
\rbracklend	⎦	0x23a6
\lbraceuend	⎧	0x23a7
\lbracemid	⎨	0x23a8
\lbracelend	⎩	0x23a9
\vbraceextender	⎪	0x23aa
\rbraceuend	⎫	0x23ab
\rbracemid	⎬	0x23ac
\rbracelend	⎭	0x23ad
\intextender	⎮	0x23ae
\harrowextender	⎯	0x23af
\lmoustache	⎰	0x23b0
\rmoustache	⎱	0x23b1
\sumtop	⎲	0x23b2
\sumbottom	⎳	0x23b3
\overbracket	⎴	0x23b4
\underbracket	⎵	0x23b5
\bbrktbrk	⎶	0x23b6
\sqrtbottom	⎷	0x23b7
\lvboxline	⎸	0x23b8
\rvboxline	⎹	0x23b9
\varcarriagereturn	⏎	0x23ce
\overparen	⏜	0x23dc
\underparen	⏝	0x23dd
\overbrace	⏞	0x23de
\underbrace	⏟	0x23df
\obrbrak	⏠	0x23e0
\ubrbrak	⏡	0x23e1
\trapezium	⏢	0x23e2
\benzenr	⏣	0x23e3
\strns	⏤	0x23e4
\fltns	⏥	0x23e5
\accurrent	⏦	0x23e6
\elinters	⏧	0x23e7
\bdtriplevdash	┆	0x2506
\blockuphalf	▀	0x2580
\blocklowhalf	▄	0x2584
\blockfull	█	0x2588
\blocklefthalf	▌	0x258c
\blockrighthalf	▐	0x2590
\blockqtrshaded	░	0x2591
\blockhalfshaded	▒	0x2592
\blockthreeqtrshaded	▓	0x2593
\mdlgblksquare	■	0x25a0
\mdlgwhtsquare	□	0x25a1
\squoval	▢	0x25a2
\blackinwhitesquare	▣	0x25a3
\squarehfill	▤	0x25a4
\squarevfill	▥	0x25a5
\squarehvfill	▦	0x25a6
\squarenwsefill	▧	0x25a7
\squareneswfill	▨	0x25a8
\squarecrossfill	▩	0x25a9
\smblksquare	▪	0x25aa
\smwhtsquare	▫	0x25ab
\hrectangleblack	▬	0x25ac
\hrectangle	▭	0x25ad
\vrectangleblack	▮	0x25ae
\vrectangle	▯	0x25af
\parallelogramblack	▰	0x25b0
\parallelogram	▱	0x25b1
\bigblacktriangleup	▲	0x25b2
\bigtriangleup	△	0x25b3
\blacktriangleup	▴	0x25b4
\smalltriangleup	▵	0x25b5
\RHD	▶	0x25b6
\rhd	▷	0x25b7
\blacktriangleright	▸	0x25b8
\smalltriangleright	▹	0x25b9
\blackpointerright	►	0x25ba
\whitepointerright	▻	0x25bb
\bigblacktriangledown	▼	0x25bc
\bigtriangledown	▽	0x25bd
\blacktriangledown	▾	0x25be
\smalltriangledown	▿	0x25bf
\LHD	◀	0x25c0
\lhd	◁	0x25c1
\blacktriangleleft	◂	0x25c2
\smalltriangleleft	◃	0x25c3
\blackpointerleft	◄	0x25c4
\whitepointerleft	◅	0x25c5
\Diamondblack	◆	0x25c6
\Diamond	◇	0x25c7
\blackinwhitediamond	◈	0x25c8
\fisheye	◉	0x25c9
\lozenge	◊	0x25ca
\Circle	○	0x25cb
\dottedcircle	◌	0x25cc
\circlevertfill	◍	0x25cd
\bullseye	◎	0x25ce
\CIRCLE	●	0x25cf
\LEFTcircle	◐	0x25d0
\RIGHTcircle	◑	0x25d1
\circlebottomhalfblack	◒	0x25d2
\circletophalfblack	◓	0x25d3
\circleurquadblack	◔	0x25d4
\blackcircleulquadwhite	◕	0x25d5
\LEFTCIRCLE	◖	0x25d6
\RIGHTCIRCLE	◗	0x25d7
\inversebullet	◘	0x25d8
\inversewhitecircle	◙	0x25d9
\invwhiteupperhalfcircle	◚	0x25da
\invwhitelowerhalfcircle	◛	0x25db
\ularc	◜	0x25dc
\urarc	◝	0x25dd
\lrarc	◞	0x25de
\llarc	◟	0x25df
\topsemicircle	◠	0x25e0
\botsemicircle	◡	0x25e1
\lrblacktriangle	◢	0x25e2
\llblacktriangle	◣	0x25e3
\ulblacktriangle	◤	0x25e4
\urblacktriangle	◥	0x25e5
