\lbrack	[	0x5b
\mathsfbfit{\\Delta}	𝞓	0x1d793
\mbfitsansEpsilon	𝞔	0x1d794
\mbfitsansZeta	𝞕	0x1d795
\mbfitsansEta	𝞖	0x1d796
\mathsfbfit{\\Theta}	𝞗	0x1d797
\mbfitsansIota	𝞘	0x1d798
\mbfitsansKappa	𝞙	0x1d799
\mathsfbfit{\\Lambda}	𝞚	0x1d79a
\mbfitsansMu	𝞛	0x1d79b
\mbfitsansNu	𝞜	0x1d79c
\mathsfbfit{\\Xi}	𝞝	0x1d79d
\mbfitsansOmicron	𝞞	0x1d79e
\mathsfbfit{\\Pi}	𝞟	0x1d79f
\mbfitsansRho	𝞠	0x1d7a0
\mbfitsansvarTheta	𝞡	0x1d7a1
\mathsfbfit{\\Sigma}	𝞢	0x1d7a2
\mbfitsansTau	𝞣	0x1d7a3
\mathsfbfit{\\Upsilon}	𝞤	0x1d7a4
\mathsfbfit{\\Phi}	𝞥	0x1d7a5
\mbfitsansChi	𝞦	0x1d7a6
\mathsfbfit{\\Psi}	𝞧	0x1d7a7
\mathsfbfit{\\Omega}	𝞨	0x1d7a8
\mbfitsansnabla	𝞩	0x1d7a9
\mathsfbfit{\\alpha}	𝞪	0x1d7aa
\mathsfbfit{\\beta}	𝞫	0x1d7ab
\mathsfbfit{\\gamma}	𝞬	0x1d7ac
\mathsfbfit{\\delta}	𝞭	0x1d7ad
\mathsfbfit{\\varepsilon}	𝞮	0x1d7ae
\mathsfbfit{\\zeta}	𝞯	0x1d7af
\mathsfbfit{\\eta}	𝞰	0x1d7b0
\mathsfbfit{\\theta}	𝞱	0x1d7b1
\mathsfbfit{\\iota}	𝞲	0x1d7b2
\mathsfbfit{\\kappa}	𝞳	0x1d7b3
\mathsfbfit{\\lambda}	𝞴	0x1d7b4
\mathsfbfit{\\mu}	𝞵	0x1d7b5
\mathsfbfit{\\nu}	𝞶	0x1d7b6
\mathsfbfit{\\xi}	𝞷	0x1d7b7
\mbfitsansomicron	𝞸	0x1d7b8
\mathsfbfit{\\pi}	𝞹	0x1d7b9
\mathsfbfit{\\rho}	𝞺	0x1d7ba
\mathsfbfit{\\varsigma}	𝞻	0x1d7bb
\mathsfbfit{\\sigma}	𝞼	0x1d7bc
\mathsfbfit{\\tau}	𝞽	0x1d7bd
\mathsfbfit{\\upsilon}	𝞾	0x1d7be
\mathsfbfit{\\varphi}	𝞿	0x1d7bf
\mathsfbfit{\\chi}	𝟀	0x1d7c0
\mathsfbfit{\\psi}	𝟁	0x1d7c1
\mathsfbfit{\\omega}	𝟂	0x1d7c2
\mbfitsanspartial	𝟃	0x1d7c3
\mathsfbfit{\\epsilon}	𝟄	0x1d7c4
\mathsfbfit{\\vartheta}	𝟅	0x1d7c5
\mbfitsansvarkappa	𝟆	0x1d7c6
\mathsfbfit{\\phi}	𝟇	0x1d7c7
\mathsfbfit{\\varrho}	𝟈	0x1d7c8
\mathsfbfit{\\varpi}	𝟉	0x1d7c9
\mbfDigamma	𝟊	0x1d7ca
\mbfdigamma	𝟋	0x1d7cb
\mathbf{0}	𝟎	0x1d7ce
\mathbf{1}	𝟏	0x1d7cf
\mathbf{2}	𝟐	0x1d7d0
\mathbf{3}	𝟑	0x1d7d1
\mathbf{4}	𝟒	0x1d7d2
\mathbf{5}	𝟓	0x1d7d3
\mathbf{6}	𝟔	0x1d7d4
\mathbf{7}	𝟕	0x1d7d5
\mathbf{8}	𝟖	0x1d7d6
\mathbf{9}	𝟗	0x1d7d7
\mathbb{0}	𝟘	0x1d7d8
\mathbb{1}	𝟙	0x1d7d9
\mathbb{2}	𝟚	0x1d7da
\mathbb{3}	𝟛	0x1d7db
\mathbb{4}	𝟜	0x1d7dc
\mathbb{5}	𝟝	0x1d7dd
\mathbb{6}	𝟞	0x1d7de
\mathbb{7}	𝟟	0x1d7df
\mathbb{8}	𝟠	0x1d7e0
\mathbb{9}	𝟡	0x1d7e1
\mathsf{0}	𝟢	0x1d7e2
\mathsf{1}	𝟣	0x1d7e3
\mathsf{2}	𝟤	0x1d7e4
\mathsf{3}	𝟥	0x1d7e5
\mathsf{4}	𝟦	0x1d7e6
\mathsf{5}	𝟧	0x1d7e7
\mathsf{6}	𝟨	0x1d7e8
\mathsf{7}	𝟩	0x1d7e9
\mathsf{8}	𝟪	0x1d7ea
\mathsf{9}	𝟫	0x1d7eb
\mathsfbf{0}	𝟬	0x1d7ec
\mathsfbf{1}	𝟭	0x1d7ed
\mathsfbf{2}	𝟮	0x1d7ee
\mathsfbf{3}	𝟯	0x1d7ef
\mathsfbf{4}	𝟰	0x1d7f0
\mathsfbf{5}	𝟱	0x1d7f1
\mathsfbf{6}	𝟲	0x1d7f2
\mathsfbf{7}	𝟳	0x1d7f3
\mathsfbf{8}	𝟴	0x1d7f4
\mathsfbf{9}	𝟵	0x1d7f5
\mathtt{0}	𝟶	0x1d7f6
\mathtt{1}	𝟷	0x1d7f7
\mathtt{2}	𝟸	0x1d7f8
\mathtt{3}	𝟹	0x1d7f9
\mathtt{4}	𝟺	0x1d7fa
\mathtt{5}	𝟻	0x1d7fb
\mathtt{6}	𝟼	0x1d7fc
\mathtt{7}	𝟽	0x1d7fd
\mathtt{8}	𝟾	0x1d7fe
\mathtt{9}	𝟿	0x1d7ff
^0	⁰	0x2070
^1	¹	0xb9
^2	²	0xb2
^3	³	0xb3
^4	⁴	0x2074
^5	⁵	0x2075
^6	⁶	0x2076
^7	⁷	0x2077
^8	⁸	0x2078
^9	⁹	0x2079
^+	⁺	0x207a
^-	⁻	0x207b
^=	⁼	0x207c
^(	⁽	0x207d
^)	⁾	0x207e
_0	₀	0x2080
_1	₁	0x2081
_2	₂	0x2082
_3	₃	0x2083
_4	₄	0x2084
_5	₅	0x2085
_6	₆	0x2086
_7	₇	0x2087
_8	₈	0x2088
_9	₉	0x2089
_+	₊	0x208a
_-	₋	0x208b
_=	₌	0x208c
_(	₍	0x208d
_)	₎	0x208e
\frac{1}{2}	½	0xbd
\frac{1}{4}	¼	0xbc
\frac{3}{4}	¾	0xbe
